timestamp,cpu_percent,memory
1733491668,0.0,5458K
1733491670,0.0,5458K
1733491673,0.0,5410K
1733491675,0.0,5410K
1733491677,0.0,5410K
1733491680,0.0,5410K
1733491682,0.0,5410K
1733491684,0.0,5410K
1733491687,0.0,5410K
1733491689,0.0,5410K
1733491691,0.0,5410K
1733491693,0.0,5410K
1733491696,0.0,5410K
1733491698,0.0,5410K
1733491700,0.0,5410K
1733491703,0.0,5410K
1733491705,0.0,5410K
1733491707,0.0,5410K
1733491710,0.0,5410K
1733491712,0.0,5410K
1733491714,7.2,11M+
1733491717,17.0,14M+
1733491719,32.6,16M+
1733491722,41.0,17M+
1733491724,42.3,18M+
1733491727,42.6,18M
1733491729,43.3,18M+
1733491731,45.5,19M+
1733491734,40.6,19M-
1733491736,41.1,19M
1733491738,40.7,19M+
1733491741,32.3,19M+
1733491743,40.9,19M
1733491746,41.6,19M
1733491748,38.5,20M+
1733491750,37.0,20M
1733491753,35.0,20M
1733491755,38.5,20M
1733491758,34.2,20M+
1733491760,33.0,20M+
1733491763,35.1,20M-
1733491765,34.9,20M-
1733491768,37.1,21M
1733491770,36.8,21M+
1733491772,38.7,21M
1733491775,38.3,21M
1733491777,40.3,21M
1733491780,35.6,21M
1733491782,37.4,21M-
1733491785,36.5,21M+
1733491787,39.1,21M
1733491790,37.2,21M
1733491792,34.4,21M+
1733491795,24.3,21M+
1733491797,27.6,21M+
1733491800,28.6,22M
1733491802,30.4,22M+
1733491804,31.8,22M
1733491807,34.3,22M
1733491809,33.6,22M+
1733491812,34.2,22M+
1733491814,18.9,22M+
1733491817,13.8,22M
1733491819,13.5,22M
1733491821,6.7,22M
1733491824,3.5,12M-
1733491826,0.0,12M
1733491828,0.0,12M
1733491831,0.0,12M
1733491833,0.0,12M
1733491835,0.0,11M
1733491838,0.0,11M
1733491840,0.0,11M
1733491843,0.0,11M
1733491845,0.0,11M
1733491847,0.0,11M
1733491850,0.0,11M
1733491852,0.0,11M
1733491854,0.0,11M
1733491857,0.0,11M
1733491859,0.0,11M
1733491861,0.0,11M
1733491864,0.0,11M
1733491866,0.0,11M
1733491868,0.0,11M
1733491871,0.0,11M
1733491873,0.0,11M
1733491875,0.0,11M
1733491878,0.0,11M
1733491880,0.0,11M
1733491882,0.0,11M
1733491885,0.0,11M
1733491887,0.0,11M
1733491889,0.0,11M
1733491892,0.0,11M
1733491894,0.0,11M-
